type	name	latitude_deg	longitude_deg	icao_code
small_airport	Mapoda Airport	-7.979	143.1694	AYPO
small_airport	Pumani Airport	-9.7469	149.4766	AYPQ
large_airport	Port Moresby Jacksons International Airport	-9.443380356	147.2200012	AYPY
small_airport	Karawari Airstrip	-4.596666667	143.5225	AYQA
small_airport	Tumolbil Airport	-4.7748	141.0133	AYQL
small_airport	Sopu Airport	-8.3038	147.1659	AYQO
small_airport	Ononge Airport	-8.674361111	147.2624167	AYQQ
small_airport	Sialum Airport	-6.0908	147.5955	AYQS
small_airport	Kira Airport	-8.065111111	147.3320278	AYRA
small_airport	Raba Raba Airport	-9.971111111	149.8322222	AYRE
small_airport	Rumginae Airport	-5.897222222	141.2716667	AYRG
small_airport	Karimui Airport	-6.4921	144.823	AYRI
small_airport	Kairuku Airport	-8.817000054	146.5243833	AYRK
small_airport	Maramuni Airport	-5.13	143.4829	AYRM
small_airport	Kakoro(Koroko) Airstrip	-7.834666667	146.5335	AYRO
small_airport	Suabi Airport	-6.104444444	142.2783333	AYSA
small_airport	Saidor Airport	-5.627138889	146.4627778	AYSD
small_airport	Simberi Airport	-2.662222222	151.9977778	AYSE
small_airport	Safia Airport	-9.593055556	148.6361111	AYSF
small_airport	Sila Airport	-9.073555556	148.38925	AYSG
small_airport	Sabah Airport	-5.5765	155.0489	AYSH
small_airport	Simbai Airport	-5.278611111	144.5447222	AYSJ
small_airport	Sengapi Airstrip	-5.125833333	144.3236111	AYSK
small_airport	Sehulea Airport	-9.964527778	151.1618611	AYSL
small_airport	Selbang Airport	-5.315	141.752	AYSO
small_airport	Sapmanga Airport	-6.075277778	146.8111111	AYSP
small_airport	Sasereme Airport	-7.6217	142.868	AYSS
small_airport	Suki Airport	-8.0466	141.7222	AYSU
small_airport	Sauren Airport	-5.9701	148.8543	AYSV
small_airport	Satwag Airport	-6.139555556	147.2791667	AYSW
small_airport	Masa Airport	-6.345	147.591	AYSX
small_airport	Tari Airport	-5.845	142.947998	AYTA
small_airport	Tabubil Airport	-5.280471	141.227576	AYTB
small_airport	Telefomin Airport	-5.12608	141.641922	AYTE
small_airport	Tetebedi Airport	-9.1586	148.0686	AYTF
small_airport	Tagula Airport	-11.33111111	153.2029167	AYTG
small_airport	Tifalmin Airport	-5.117249	141.418076	AYTH
small_airport	Tapini Airport	-8.356666667	146.9891667	AYTI
medium_airport	Tokua Airport	-4.34046	152.380005	AYTK
small_airport	Tekin Airport	-5.243667	142.165194	AYTN
small_airport	Kamberatoro Airport	-3.600556	141.051667	AYTO
small_airport	Tep Tep Airport	-5.9553	146.5595	AYTP
small_airport	Tarabo Airport	-6.466666667	145.5322222	AYTR
small_airport	Tsewi Airport	-7.0695	146.1272	AYTS
small_airport	Tarakbits Airport	-5.614	141.0421	AYTT
small_airport	Tufi Airport	-9.075954437	149.3198395	AYTU
small_airport	Timbunke Airport	-4.196633	143.519222	AYTV
small_airport	Tawa Airport	-7.4463	146.1067	AYTW
small_airport	Terapo Airport	-8.169722222	146.1944444	AYTY
